id,evaluation_axes_id,main_goal_id,sub_goal_id,skills_analysis,required
1,1,1,1,يصنع اتصالا بصريا كطلب لانتباه الآخرين أو معززات أخرى مرتين (O),0
2,1,1,1,يتحرك بالقرب من المادة المعززة ليشير إلى وجود اجراء تعزيزي مرتين(O),0
3,1,1,1,يدفع شخصا كبيرا حتى يصل للمادة المعززة مرتين (O),0
4,1,1,1,يشير أو يومئ باتجاه المعزز بقصد الحصول عليه مرتين (O),0
5,1,1,2,يشير إلى معززين مختلفين للحصول عليهم مرتين(E),0
6,1,1,2,يقول أو يومئ بنعم أو لا عندما تعرض عليه معززات مرتين (E),0
7,1,1,2,يصدر طلبين مختلفين بدون دافع المصادأة –يمكن استخدام الدافع اللفظي او المادي (E),1
8,1,1,2,يصدر طلب واحد بشكل عفوي بدون دافع مصاداة أو تقليد –يمكن استخدام الدافع المادي (O),1
9,1,1,2,يعمم طلبين معروفين خلال شخصين أو مكانين مختلفين (E),1
10,1,1,3,يصدر طلبين بشكل عفوي (بدون دافع لفظي ) –يسمح بوجود المادة(O),1
11,1,1,3,يصدر 5 طلبات بدون دافع مصاداة أو تقليد –يمكن استخدام الدافع اللفظي او المادي (O),1
12,1,1,3,يعمم 3 طلبات خلال مثالين من المادة المرغوبة (E),1
13,1,1,3,يصدر 6 طلبات مختلفة بدون دافع مصاداة أو تقليد –يمكن استخدام الدافع اللفظي أو المادي ( E),1
14,1,1,4,يطلب الانتباه مرتين مع نوع معرف من الاستجابة (O),0
15,1,1,4,"يصدر طلبين بدون وجود المادة-باستخدام ""ماذا تريد؟""(O)",1
16,1,1,4,يصدر طلبين بدون دافع لفظي-يمكن استخدام الدافع المادي (O),1
17,1,1,4,يطلب من الآخرين الانتباه لنفس المثير الذي ينتبه هو إليه 5 مرات خلال اليوم (O),0
18,1,1,4,يصدر طلب واحد لإزالة نشاط أو مادة غير مرغوبة(E),0
19,1,1,5,يصدر 3 طلبات مختلفة بدون وجود المادة المطلوبة –يسمح باستخدام الدافع اللفظي(E),1
20,1,1,5,يصدر 3 طلبات مختلفة بدون وجود المادة المطلوبة –يسمح باستخدام الدافع المادي (E),1
21,1,1,5,الطلب يحتوي تنغيم بلائم الإجراء التعزيزي الحالي مرتين (O),0
22,1,1,5,يكتسب طلب جديد خلال اقل من عشرين محاولة تدريبية (T),0
23,1,1,5,يتابع إصدار الطلب مرتين إذا لم يتم توفير المادة المطلوبة (E),0
24,1,2,6,يصدر بشكل عفوي خمس طلبات بدون وجود الشيء المطلوب وبدون دافع لفظي (O),1
25,1,2,6,يصدر 15 طلب مختلف بدون دافع مصاداة أو تقليد-يسمح بوجود المادة (E),1
26,1,2,6,يطلب 5 مواد مفقودة بدون دافع (باستثناء الدافع اللفظي) (E),1
27,1,2,6,يعمم 4 طلبات لأربع أشخاص مختلفين (E),0
28,1,2,6,يحتفظ بالطلب المكتسب حديثًا للمادة المفقودة لما بعد 24 ساعة من فقدان الاتصال بتلك المادة (E),0
29,1,2,7,يطلب 5 مرات بجمل أو مقاطع تتكون من كلمتين (TO:60min),1
30,1,2,7,يطلب من الآخرين إصدار حركتين بوجود الدافع اللفظي (E),1
31,1,2,7,يصدر طلبين لإزالة مواد أو أنشطة غير مرغوبة (O),1
32,1,2,7,يظهر تعميم استجابة لطلبين مختلفات (O),0
33,1,2,7,يحتوي الطلب تنغيم ملائم للإجراء التعزيزي الإيجابي والسلبي 5 مرات (O),0
34,1,2,7,يطلب المساعدة مرتين (O),0
35,1,2,7,يظهر استخدام متكرر للطلب (O),0
36,1,2,8,يطلب 5 مرات بجمل أو مقاطع تتكون من كلمتين (TO:60min),1
