المجال الرئيسي,المجال الفرعي,الهدف طويل المدى,المستوى,بند القياس,الهدف,تحليل المهارة,الاختصاص,الجنس,عمر البداية,عمر النهاية,المعيار
,1,"هل يستخدم الطفل كلمات, إشارات أو رموز ليطلب مواد أو أنشطة مرغوبة لديه؟",1,,,"يصدر كلمتين, إشارتين, أو يختار رمزين ويمكن أن يحتاج مصاداة, تقليد حركي أو أي دافع أخر باستثناء الدافع المادي (E )|يصدر أربع طلبات بدون أي دافع (باستثناء ماذا تريد؟), المادة المرغوبة يمكن أن تكون موجودة (E )|يعمم الطفل 6 طلبات من خلال شخصين أو مكانين و مثالين مختلفين من المعززات ( يطلب حلوى من الأم والأب , في الداخل والخارج , في علبة زرقاء وحمراء ) (E )|يصدر الطفل بشكل عفوي (بدون دافع لفظي) 5 طلبات – المادة المرغوبة يمكن أن تكون موجودة (TO:60min )|يصدر الطفل 10 طلبات بدون أي دافع باستثناء""ماذا تريد؟""- المادة المرغوبة يمكن أن تكون موجودة (E )",,,,,
,1,هل يظهر الطفل بشكل متكرر وعفوي طلب يتحكم به من خلال الإجراء التعزيزي؟,2,,,"يطلب الطفل 20 مادة مفقودة بدون إي دافع (باستثناء ماذا تحتاج؟). (مثال : طلب ورقة عندما يعطى قلم ألوان.) (E)|يطلب الطفل من الآخرين إصدار خمسة إجراءات يحتاجها الطفل ليستمتع (""افتح"" لأذهب خارجا, ""ادفع"" عندما يكون جالسا في المرجوحة).(E)|يصدر الطفل 5 طلبات مختلفة تحتوي كلمتين أو أكثر(لا يتم احتساب كلمة""أنا أريد"") (""اذهب سريعا"",""دوري"",""صب عصير"") (TO:60min)|يصدر الطفل بشكل عفوي 15 طلب مختلف (""هيا نلعب"","" افتح"",""أريد كتابا"") (TO:30min)|يصدر الطفل 10 طلبات جديدة بدون أي تدريب ( يقول بشكل عفوي ""أين ذهبت كيتي؟"" بدون أن يتم تدريبه ) (O)",,,,,
,1,"هل يطلب الطفل معلومات , يطلب بأجزاء مختلفة من الكلام,ويعطي اتجاهات للآخرين؟",3,,,"يطلب الطفل تلقائيًا معلومات لفظية مختلفة مستخدمًا أسئلة استفهامية(ماذا, من , أين, متى...الخ) أو كلمة سؤال خمس مرات (ما هو اسمك؟ أين تريديني أن أذهب؟) (TO: 60 min).|يطلب الطفل بأدب إيقاف نشاط غير مرغوب أو إزالة أي إجراء تعزيزي مكروه وذلك في خمسة ظروف مختلفة. (أرجوك توقف عن دفعي. لا شكرًا لك. عفوًا, هل تستطيع أن تبتعد؟). ((E.|يطلب الطفل مستخدمًا 10 صفات مختلفة, حروف جر, أو ظرفي الزمان والمكان. (قلم ألواني مكسور. لا تأخذه مني. اذهب سريعًا.) (TO:60 min).|يعطي الطفل اتجاهات, تعليمات أو شروحات لشرح كيف تفعل شيئًا أو كيف تشارك في نشاط 5 مرات. (ضع الصمغ أولًا, ثم ألصقه. اجلس هنا ريثما أحضر الكتاب.). (O).|يطلب الطفل من الآخرين الإ نتباه لسلوكيات المحادثة الصادرة منه 5 مرات (استمع لي, أنا سوف أخبرك, هذا ما حدث, أنا سأروي القصة) (O).",,,,,
,2,"هل يسمي الطفل الأشخاص , الأشياء, أجزاء الجسم أو الصور؟",1,,,"يسمي مادتين مع دافع المصادأة أو التقليد( شخصين, 2حيوان أليف, 2مادة مرغوبة) (T)|يسمي أي أربعة مواد بدون دافع مصاداة أو تقليد (T )|يسمي 6 مواد غير معززة ( حذاء, قبعة, ملعقة, كوب, سرير).(T )|يسمي عفويا مادتين مختلفتين (بدون دافع لفظي).(TO:60min )|يسمي 10 مواد ( مواد شائعة, أشخاص, أجزاء الجسم, صور.......الخ) (T )",,,,,
,2,هل يسمي الطفل أسماء وأفعالا؟,2,,,"يسمي الطفل 25 مادة عندما يُسأل "" ما هذا؟""(كتاب,سيارة, كلب, قبعة...الخ) (T)|يعمم الطفل التسمية خلال 3 أمثلة من خمسين مادة تم اختبارها او من قائمة التعميم المعروفة ( يسمي ثلاثة سيارات مختلفة) ( T)|يسمي الطفل 10 إجراءات عندما يُسأل "" ماذا افعل؟""( تقفز,تنام, تأكل...الخ).(T)|يسمي 50 مادة تتكون من مقطعين (فعل-اسم, اسم-فعل ) من خلال الاختبار أو من قائمة معروفة للتسمية المركبة ( ""اغسل وجهك"",""الطفل ينام"","" جو يتأرجح"") (T)|يسمي الطفل 200 اسم و/ أو فعل من خلال الاختبار أو من خلال قائم معروفة للتسمية (T)",,,,,
,2,هل يصدر الطفل مجموعة واسعة من التسميات التي تحتوي أجزاء مختلفة من الكلام؟,3,,,"يسمي الطفل الألوان, الأشكال والوظائف لخمس أشياء (15 محاولة) عندما يتم عرض الشيء والسؤال بترتيب مختلط (ما لون الثلاجة؟ ما هو شكل البطاقة؟ ماذا تفعل بالكرة؟) (هذه المهارة جزء تسمية وجزء محادثة). (T)|يسمي الطفل 4 حروف جر (في, على, إلى, من) و 4 ضمائر (أنا, أنت, لي). (E).|إذا سمى الطفل 4 صفات مختلفة بإستثاء الألوان والأشكال (كبير, صغير, طويل, قصير) و 4 ظرف حال (سريع, بطيء... الخ). (E).|يسمي الطفل جملة كاملة تحتوي 4 كلمات أو أكثر, عشرين مرة. (E).|يسمي الطفل جملة كاملة تحتوي 4 كلمات أو أكثر, عشرين مرة. (E).",,,,,
,3,هل ينتبه الطفل ويستجيب لكلمات الآخرين؟,1,,,"ينتبه لصوت المتحدث عن طريق صنع اتصال بصري مع المتحدث خمس مرات (TO:30min )|يستجيب لسماع اسمه خمس مرات (T )|يبحث عن, يلمس, أو يؤشر لأفراد العائلة , الحيوانات الأليفة, أو أي معززات أخرى تكون موجودة في مجموعة من مادتين  وذلك لخمس مواد معززة مختلفة.(أين ماما؟) (E )|يطبق 4 حركات مختلفة حسب الأمر من دون دافع بصري (هل تستطيع أن تقفز؟) (T )|يختار المادة الصحيحة من ضمن مجموعة مكونة من 4 مواد وذلك ل 20 مادة مختلفة أو صورة""ارني القطة"" (T )",,,,,
,3,هل يكتسب الطفل مهارات مستمع متقدمة؟,2,,,"يختار الطفل المادة الصحيحة من مجموعة غير مرتبة مكونة من 6 مواد وذلك لأربعين مادة مختلفة أو صور مختلفة ( جد القطة, المس الكرة) (T)|يستطيع الطفل تعميم تمييز المستمع في مجموعة غير مرتبة تتكون من 8 مواد وذلك لثلاثة أمثلة مختلفة من 50 مادة ( الطفل يستطيع إيجاد 3 أمثلة من القطار) (T)|يطبق الطفل 10 حركات جسدية محددة حسب ما يُطلب منه ( ارني كيف تصفق, هل تستطيع أن تقفز؟).(T)|يتبع الطفل 50 إرشاد من الإرشادات والتعليمات المركبة (اسم-فعل و /او فعل-اسم) ( ارني الطفل النائم,ادفع الأرجوحة) (T)|يختار الطفل المادة الصحيحة في كتاب, مشهد صور, أو بيئة طبيعية ( بعد تسمية المادة من شخص بالغ) وذلك ل 250 مادة ( عن طريق الاختبار أو قائمة تجميعية لكلمات معروفة) (T)",,,,,
,3,هل يفهم الطفل كلمات معقدة تشمل أجزاء مختلفة من الكلام؟,3,,,"يختار الطفل المواد حسب اللون أو الشكل من مجموعة مكونة من 6 مثيرات متشابهة, وذلك لأربعة ألوان مختلفة و 4 أشكال (جد السيارة الحمراء). (T).|يلتزم الطفل باثنين من التعليمات تشمل 6 حروف جر (اجلس على الكرسي) و 4 ضمائر مختلفة (المس أذني). ( T)|إذا اختار الطفل مواد من مجموعة ذات مثيرات متشابهة اعتمادا على أربعة أزواج من الصفات المرتبطة (كبير وصغير, طويل وقصير).ويشرح نشاطات وأحداث اعتمادا على أربعة أزواج من الأحوال المرتبطة (هادئ وضجيج, سريع وبطيء). (T).|يتبع الطفل تعليمات (مكونة من ثلاث خطوات) لعشر مرات (أحضر حاكيتك, علقه, واجلس.).(T).|لدى الطفل ذخيرة مستمع كلية من 1200 كلمة (أسماء, أفعال, أحوال...الخ) من خلال الاختبار أو قائمة تجميعية من الكلمات المعروفة. (T).",,,,,
,4,هل ينتبه الطفل ويستجيب للمؤثرات البصرية ويطابق الأشياء مع صورها ؟,1,,,"يتتبع بصريا مؤثر لمدة ثانيتين خمس مرات(TO:30min )|يمسك أشياء صغيرة بالسبابة والإبهام (مسكه الكماشة) خمس مرات (O )|
ينتبه الطفل بصريا للعبة أو كتاب لمدة 30 ثانية ( باستثناء المواد ذاتية التحفيز) (O )|يضع ثلاثة مواد في وعاء , يجمع ثلاثة مكعبات , او يضع ثلاث حلقات على وتد وذلك لنشاطين مختلفين او متشابهين(E)|يجمع عشرة مواد متطابقة. (E )",,,,,
